"STOP_NAME","MAP_ID","avg_weekday_rides","avg_saturday_rides","avg_sunday.holiday_rides","monthtotal"
"95th/Dan Ryan (Howard-bound)",40450,"4,123.6","2,586.5","2,107.3","109,585"
"87th (Howard-bound)",41430,"1,503.5","1,009.3","845.5","40,684"
"79th (Howard-bound)",40240,"2,429.1","1,748.5","1,502.7","67,022"
"69th (Howard-bound)",40990,"1,731.9","1,260.3","984.2","47,316"
"63rd (Howard-bound)",40910,"969.9","684","647.7","26,989"
"Garfield (Howard-bound)",41170,"1,273.3","972","664","34,611"
"47th (Howard-bound)",41230,"1,127.4","774","621","30,497"
"Sox-35th (Howard-bound)",40190,"1,441","845","674.2","37,686"
"Cermak-Chinatown (Howard-bound)",41000,"1,802.4","2,479.5","2,511.2","62,836"
"Roosevelt (Howard-bound)",41400,"4,981.7","4,096.5","3,585.2","142,512"
"Harrison (Howard-bound)",41490,"1,691.5","1,385.8","1,038","47,292"
"Jackson/State (Howard-bound)",40560,"3,460","1,458.8","1,269","86,110"
"Monroe (Howard-bound)",41090,"2,919.7","1,495.3","1,131.8","74,085"
"Lake (Howard-bound)",41660,"7,186.6","5,233","3,935","195,461"
"Grand/State (Howard-bound)",40330,"3,658.2","4,018.8","3,429.8","113,477"
"Chicago (Howard-bound)",41450,"5,589.7","4,667.5","3,542","157,305"
"Clark/Division (Howard-bound)",40630,"3,641.4","3,047.5","2,224.7","102,007"
"North/Clybourn (Howard-bound)",40650,"2,385.5","2,319.5","1,650.7","69,277"
"Fullerton (Howard-bound)",41220,"7,511.2","4,747.5","3,748.7","199,218"
"Belmont (Howard-bound)",41320,"5,423.6","4,890.3","3,594.3","155,023"
"Addison (Howard-bound)",41420,"3,006.2","2,784.3","2,202.8","87,485"
"Sheridan (Howard-bound)",40080,"2,134.6","1,575.8","1,150.5","58,032"
"Wilson (Howard-bound)",40540,"4,098.1","3,136.8","2,258","112,155"
"Lawrence (Howard-bound)",40770,"0","0","0","0"
"Argyle (Howard-bound)",41200,"2,027.6","1,997.3","1,320","58,489"
"Berwyn (Howard-bound)",40340,"0","0","0","0"
"Bryn Mawr (Howard-bound)",41380,"1,879","1,414.3","1,065.3","51,507"
"Thorndale (Howard-bound)",40880,"1,337.8","968.5","721.3","36,295"
"Granville (Howard-bound)",40760,"1,785.2","1,558.5","1,048.5","50,015"
"Loyola (Howard-bound)",41300,"2,361.3","2,021","1,376.3","65,929"
"Morse (Howard-bound)",40100,"1,995.2","1,511","1,191.2","55,090"
"Jarvis (Howard-bound)",41190,"784","668.8","486.5","22,057"
"Howard (Terminal arrival)",40900,"2,591.5","1,854","1,505","70,868"
